time,flowcount
"22/10/2024, 23:54:28",81
"22/10/2024, 23:54:31",83
"22/10/2024, 23:54:34",85
"22/10/2024, 23:54:37",85
"22/10/2024, 23:54:40",85
"22/10/2024, 23:54:43",87
"22/10/2024, 23:54:46",87
"22/10/2024, 23:54:49",87
"22/10/2024, 23:54:52",89
"22/10/2024, 23:54:55",89
"22/10/2024, 23:54:58",89
"22/10/2024, 23:55:01",89
"22/10/2024, 23:55:22",89
"22/10/2024, 23:55:07",89
"22/10/2024, 23:55:10",91
"22/10/2024, 23:55:13",91
"22/10/2024, 23:55:10",91
"22/10/2024, 23:55:19",91
"22/10/2024, 23:55:22",91
"22/10/2024, 23:55:25",91
"22/10/2024, 23:55:28",91
"22/10/2024, 23:55:31",91
"22/10/2024, 23:55:34",91
"22/10/2024, 23:55:37",91
"22/10/2024, 23:55:40",91
"22/10/2024, 23:55:43",91
"22/10/2024, 23:55:46",91
"22/10/2024, 23:55:49",91
"22/10/2024, 23:55:52",91
"22/10/2024, 23:55:55",91
"22/10/2024, 23:55:58",91
"22/10/2024, 23:56:01",91
"22/10/2024, 23:56:22",91
"22/10/2024, 23:56:07",91
"22/10/2024, 23:56:10",91
"22/10/2024, 23:56:13",91
"22/10/2024, 23:56:10",91
"22/10/2024, 23:56:19",91
"22/10/2024, 23:56:22",91
"22/10/2024, 23:56:25",91
"22/10/2024, 23:56:28",91
"22/10/2024, 23:56:31",91
"22/10/2024, 23:56:34",91
"22/10/2024, 23:56:37",91
"22/10/2024, 23:56:40",91
"22/10/2024, 23:56:43",91
"22/10/2024, 23:56:46",91
"22/10/2024, 23:56:49",91
"22/10/2024, 23:56:52",91
"22/10/2024, 23:56:55",91
"22/10/2024, 23:56:58",91
"22/10/2024, 23:57:01",91
"22/10/2024, 23:57:22",91
"22/10/2024, 23:57:07",91
"22/10/2024, 23:57:10",91
"22/10/2024, 23:57:13",91
"22/10/2024, 23:57:10",91
"22/10/2024, 23:57:19",91
"22/10/2024, 23:57:22",91
"22/10/2024, 23:57:25",91
"22/10/2024, 23:57:28",91
"22/10/2024, 23:57:31",91
"22/10/2024, 23:57:34",91
"22/10/2024, 23:57:37",91
"22/10/2024, 23:57:40",91
"22/10/2024, 23:57:43",91
"22/10/2024, 23:57:46",91
"22/10/2024, 23:57:49",91
"22/10/2024, 23:57:52",91
"22/10/2024, 23:57:55",91
"22/10/2024, 23:57:58",91
"22/10/2024, 23:58:01",91
"22/10/2024, 23:58:22",91
"22/10/2024, 23:58:07",91
"22/10/2024, 23:58:10",91
time,flowcount
"22/10/2024, 00:22:28",1
"22/10/2024, 00:22:31",17
"22/10/2024, 00:22:34",27
"22/10/2024, 00:22:37",37
"22/10/2024, 00:22:40",41
"22/10/2024, 00:22:43",43
"22/10/2024, 00:22:46",45
"22/10/2024, 00:22:49",55
"22/10/2024, 00:22:52",59
