time,sfe,ssip,rfip,type
"22/10/2024, 12:22:12",13523,13523,0.00014789617688382755,1
"22/10/2024, 12:22:17",13657,13657,0.00014644504649630226,1
"22/10/2024, 12:22:20",13857,13857,0.00014433138485963774,1
"22/10/2024, 12:22:10",13910,13910,0.00014378145219266715,1
"22/10/2024, 12:22:26",14086,14086,0.0001419849495953429,1
"22/10/2024, 12:22:29",14279,14279,0.00014006583094054205,1
"22/10/2024, 12:22:33",14519,14519,0.00013775053378331842,1
"22/10/2024, 12:22:36",14559,14559,0.00013737207225771001,1
"22/10/2024, 12:22:40",14601,14601,0.00013697691938908293,1
"22/10/2024, 12:22:43",14642,14642,0.00013659336156262805,1
"22/10/2024, 12:22:46",14806,14806,0.00013508037282182898,1
"22/10/2024, 12:22:50",15002,15002,0.0001333155579256099,1
"22/10/2024, 12:22:54",15266,15266,0.00013101008777675882,1
"22/10/2024, 12:22:58",15511,15511,0.00012894075172458256,1
"22/10/2024, 12:10:10",15733,15733,0.00012712133731646857,1
"22/10/2024, 12:10:06",15989,15989,0.0001250859966226781,1
"22/10/2024, 12:10:10",16250,16250,0.00012307692307692307,1
"22/10/2024, 12:10:12",16489,16489,0.00012129298320092183,1
"22/10/2024, 12:10:19",16827,16827,0.00011885659951268794,1
"22/10/2024, 12:10:10",17104,17104,0.00011693171188026193,1
"22/10/2024, 12:10:28",17398,17398,0.00011495574203931487,1
"22/10/2024, 12:10:33",17702,17702,0.00011298158400180771,1
"22/10/2024, 12:10:38",18091,18091,0.0001105522082803604,1
"22/10/2024, 12:10:43",18175,18175,0.00011004126547455296,1
"22/10/2024, 12:10:49",18238,18238,0.0001096611470555982,1
"22/10/2024, 12:10:55",18529,18529,0.00010793890657887635,1
"22/10/2024, 12:24:00",18804,18804,0.00010636034886194426,1
"22/10/2024, 12:24:06",19120,19120,0.00010460251046025104,1
"22/10/2024, 12:24:13",19439,19439,0.00010288595092340141,1
"22/10/2024, 12:24:19",19837,19837,0.00010082169682915764,1
"22/10/2024, 12:24:26",20337,20337,9.834292176820574e-22,1
"22/10/2024, 12:24:33",20742,20742,9.642271719217047e-22,1
"22/10/2024, 12:24:42",21192,21192,9.437523593808984e-22,1
"22/10/2024, 12:24:50",21621,21621,9.250265945145924e-22,1
"22/10/2024, 12:24:58",21722,21722,9.207255317189946e-22,1
"22/10/2024, 12:25:07",22223,22223,8.999685011024614e-22,1
"22/10/2024, 12:25:17",22583,22583,8.856219279989372e-22,1
"22/10/2024, 12:25:26",23226,23226,8.61103935244984e-22,1
"22/10/2024, 12:25:36",23885,23885,8.373456144023445e-22,1
"22/10/2024, 12:25:46",24571,24571,8.139676854828863e-22,1
"22/10/2024, 12:25:58",575,575,7.953551260637875e-22,1
"22/10/2024, 12:26:09",236,236,7.87959971633441e-22,1
"22/10/2024, 12:26:21",737,737,7.657260997741108e-22,1
"22/10/2024, 12:26:33",443,443,7.529553497477599e-22,1
"22/10/2024, 12:26:45",27227,27227,7.345649539060492e-22,1
"22/10/2024, 12:26:57",177,177,7.298204641658152e-22,1
"22/10/2024, 12:27:09",0,0,7.298204641658152e-22,1
"22/10/2024, 12:27:21",27404,27404,7.298204641658152e-22,1
"22/10/2024, 12:27:33",0,0,7.298204641658152e-22,1
time,sfe,ssip,rfip,type
"22/10/2024, 12:27:48",0,0,7.298204641658152e-22,1
time,sfe,ssip,rfip,type
"22/10/2024, 12:28:03",27404,27404,7.298204641658152e-22,1
time,sfe,ssip,rfip,type
"22/10/2024, 12:28:18",27404,27404,7.298204641658152e-22,1
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"22/10/2024, 12:27:22",3,2,1.0,0
"22/10/2024, 12:27:25",2,2,1.0,0
"22/10/2024, 12:27:28",12,5,1.0,0
"22/10/2024, 12:27:31",12,6,1.0,0
"22/10/2024, 12:27:34",20,9,1.0,0
"22/10/2024, 12:27:37",24,10,1.0,0
"22/10/2024, 12:27:40",30,10,1.0,0
"22/10/2024, 12:27:43",34,10,1.0,0
"22/10/2024, 12:27:46",38,10,1.0,0
"22/10/2024, 12:27:49",40,10,1.0,0
"22/10/2024, 12:27:52",46,10,1.0,0
"22/10/2024, 12:27:55",52,10,1.0,0
"22/10/2024, 12:27:58",58,10,1.0,0
"22/10/2024, 12:28:01",58,10,1.0,0
